mingw-w64-x86_64-adwaita-icon-theme 3.30.1-1
mingw-w64-x86_64-atk 2.30.0-1
mingw-w64-x86_64-binutils 2.30-5
mingw-w64-x86_64-brotli 1.0.7-1
mingw-w64-x86_64-bzip2 1.0.6-6
mingw-w64-x86_64-c-ares 1.15.0-1
mingw-w64-x86_64-ca-certificates 20180409-1
mingw-w64-x86_64-cairo 1.16.0-1
mingw-w64-x86_64-cmake 3.13.4-1
mingw-w64-x86_64-crt-git 7.0.0.5327.228dbd2f-1
mingw-w64-x86_64-curl 7.64.0-2
mingw-w64-x86_64-cyrus-sasl 2.1.27.rc8-1
mingw-w64-x86_64-db 6.0.19-3
mingw-w64-x86_64-diffutils 3.6-2
mingw-w64-x86_64-expat 2.2.6-1
mingw-w64-x86_64-fontconfig 2.13.1-1
mingw-w64-x86_64-freeglut 3.0.0-4
mingw-w64-x86_64-freetype 2.9.1-1
mingw-w64-x86_64-fribidi 1.0.5-1
mingw-w64-x86_64-gcc 8.3.0-2
mingw-w64-x86_64-gcc-ada 8.3.0-2
mingw-w64-x86_64-gcc-fortran 8.3.0-2
mingw-w64-x86_64-gcc-libgfortran 8.3.0-2
mingw-w64-x86_64-gcc-libs 8.3.0-2
mingw-w64-x86_64-gcc-objc 8.3.0-2
mingw-w64-x86_64-gdb 8.2.1-1
mingw-w64-x86_64-gdbm 1.18.1-1
mingw-w64-x86_64-gdk-pixbuf2 2.38.1-1
mingw-w64-x86_64-gettext 0.19.8.1-7
mingw-w64-x86_64-glib2 2.58.3-1
mingw-w64-x86_64-gmp 6.1.2-1
mingw-w64-x86_64-graphite2 1.3.13-1
mingw-w64-x86_64-gtk2 2.24.32-3
mingw-w64-x86_64-harfbuzz 2.3.1-1
mingw-w64-x86_64-headers-git 7.0.0.5327.228dbd2f-1
mingw-w64-x86_64-hicolor-icon-theme 0.17-1
mingw-w64-x86_64-icu 62.1-1
mingw-w64-x86_64-isl 0.19-1
mingw-w64-x86_64-jansson 2.12-1
mingw-w64-x86_64-jasper 2.0.14-1
mingw-w64-x86_64-jemalloc 5.1.0-3
mingw-w64-x86_64-jsoncpp 1.8.4-3
mingw-w64-x86_64-ldns 1.7.0-3
mingw-w64-x86_64-libarchive 3.3.3-2
mingw-w64-x86_64-libcroco 0.6.12-1
